Year,State,AgeGroup,ActivityLevel,AvgDistressScore
2016,QLD,30-44,Low,30.1
2016,QLD,30-44,Medium,28.4
2016,QLD,30-44,High,28.9
2016,QLD,45-59,Low,30.1
2016,QLD,45-59,Medium,29.1
2016,QLD,45-59,High,29.2
2016,QLD,60+,Low,30.9
2016,QLD,60+,Medium,31.9
2016,QLD,60+,High,29.7
2016,WA,18-29,Low,30.5
2016,WA,18-29,Medium,29.6
2016,WA,18-29,High,27.3
2016,WA,30-44,Low,30.3
2016,WA,30-44,Medium,29.9
2016,WA,30-44,High,31.8
2016,WA,45-59,Low,30.2
2016,WA,45-59,Medium,30.2
2016,WA,45-59,High,29.4
2016,WA,60+,Low,29.3
2016,WA,60+,Medium,31.1
2016,WA,60+,High,30.3
2016,SA,18-29,Low,31.0
2016,SA,18-29,Medium,28.8
2016,SA,18-29,High,30.6
2016,SA,30-44,Low,28.9
2016,SA,30-44,Medium,30.4
2016,SA,30-44,High,31.5
2016,SA,45-59,Low,29.4
2016,SA,45-59,Medium,29.3
2016,SA,45-59,High,29.5
2016,SA,60+,Low,30.0
2016,SA,60+,Medium,28.4
2016,SA,60+,High,29.6
2016,TAS,18-29,Low,29.1
2016,TAS,18-29,Medium,30.2
2016,TAS,18-29,High,28.3
2016,TAS,30-44,Low,31.8
2016,TAS,30-44,Medium,29.0
2016,TAS,30-44,High,29.0
2016,TAS,45-59,Low,31.2
2016,TAS,45-59,Medium,28.7
2016,TAS,45-59,High,29.6
2016,TAS,60+,Low,31.8
2016,TAS,60+,Medium,28.4
2016,TAS,60+,High,29.7
2017,NSW,18-29,Low,30.7
2017,NSW,18-29,Medium,30.7
2017,NSW,18-29,High,28.2
2017,NSW,30-44,Low,29.2
2017,NSW,30-44,Medium,30.5
2017,NSW,30-44,High,29.8
2017,NSW,45-59,Low,30.9
2017,NSW,45-59,Medium,30.4
2017,NSW,45-59,High,28.9
2017,NSW,60+,Low,30.9
2017,NSW,60+,Medium,30.5
2017,NSW,60+,High,29.0
2017,VIC,18-29,Low,32.3
2017,VIC,18-29,Medium,30.4
2017,VIC,18-29,High,28.2
2017,VIC,30-44,Low,31.2
2017,VIC,30-44,Medium,29.0
2017,VIC,30-44,High,30.3
2017,VIC,45-59,Low,31.8
2017,VIC,45-59,Medium,29.3
2017,VIC,45-59,High,30.6
2017,VIC,60+,Low,31.1
2017,VIC,60+,Medium,31.0
2017,VIC,60+,High,31.6
2017,QLD,18-29,Low,30.2
2017,QLD,18-29,Medium,29.1
2017,QLD,18-29,High,28.5
2017,QLD,30-44,Low,29.7
2017,QLD,30-44,Medium,29.9
2017,QLD,30-44,High,29.8
2017,QLD,45-59,Low,30.9
2017,QLD,45-59,Medium,30.9
2017,QLD,45-59,High,29.6
2017,QLD,60+,Low,32.2
2017,QLD,60+,Medium,29.9
2017,QLD,60+,High,32.4
2017,WA,18-29,Low,31.0
2017,WA,18-29,Medium,29.0
2017,WA,18-29,High,28.3
2017,WA,30-44,Low,31.0
2017,WA,30-44,Medium,29.8
2017,WA,30-44,High,30.2
2017,WA,45-59,Low,31.1
2017,WA,45-59,Medium,30.0
2017,WA,45-59,High,28.8
2017,WA,60+,Low,29.2
2017,WA,60+,Medium,29.8
2017,WA,60+,High,30.6
2017,SA,18-29,Low,30.6
2017,SA,18-29,Medium,28.7
2017,SA,18-29,High,29.6
2017,SA,30-44,Low,30.9
2017,SA,30-44,Medium,29.1
2017,SA,30-44,High,29.7
2017,SA,45-59,Low,30.7
2017,SA,45-59,Medium,29.0
2017,SA,45-59,High,30.0
2017,SA,60+,Low,31.3
2017,SA,60+,Medium,31.3
2017,SA,60+,High,30.8
2017,TAS,18-29,Low,29.0
2017,TAS,18-29,Medium,29.0
2017,TAS,18-29,High,29.9
2017,TAS,30-44,Low,31.0
2017,TAS,30-44,Medium,30.5
2017,TAS,30-44,High,33.4
2017,TAS,45-59,Low,31.2
2017,TAS,45-59,Medium,31.2
2017,TAS,45-59,High,30.6
2017,TAS,60+,Low,31.4
2017,TAS,60+,Medium,29.9
2017,TAS,60+,High,30.5
2018,NSW,18-29,Low,29.8
2018,NSW,18-29,Medium,29.9
2018,NSW,18-29,High,29.1
2018,NSW,30-44,Low,30.8
2018,NSW,30-44,Medium,32.5
2018,NSW,30-44,High,27.8
2018,NSW,45-59,Low,31.5
2018,NSW,45-59,Medium,28.7
2018,NSW,45-59,High,29.3
2018,NSW,60+,Low,32.0
2018,NSW,60+,Medium,30.5
2018,NSW,60+,High,28.8
2018,VIC,18-29,Low,29.9
2018,VIC,18-29,Medium,30.8
2018,VIC,18-29,High,28.9
2018,VIC,30-44,Low,30.9
2018,VIC,30-44,Medium,30.2
2018,VIC,30-44,High,29.0
2018,VIC,45-59,Low,32.9
2018,VIC,45-59,Medium,30.9
2018,VIC,45-59,High,27.8
2018,VIC,60+,Low,31.1
2018,VIC,60+,Medium,29.7
2018,VIC,60+,High,30.8
2018,QLD,18-29,Low,29.8
2018,QLD,18-29,Medium,30.0
2018,QLD,18-29,High,30.1
2018,QLD,30-44,Low,31.6
2018,QLD,30-44,Medium,29.0
2018,QLD,30-44,High,29.4
2018,QLD,45-59,Low,30.3
2018,QLD,45-59,Medium,29.6
2018,QLD,45-59,High,31.6
2018,QLD,60+,Low,31.3
2018,QLD,60+,Medium,29.1
2018,QLD,60+,High,30.8
2018,WA,18-29,Low,32.7
2018,WA,18-29,Medium,31.1
2018,WA,18-29,High,28.1
2018,WA,30-44,Low,30.2
2018,WA,30-44,Medium,31.5
2018,WA,30-44,High,29.0
2018,WA,45-59,Low,31.2
2018,WA,45-59,Medium,31.1
2018,WA,45-59,High,28.9
2018,WA,60+,Low,30.8
2018,WA,60+,Medium,27.2
2018,WA,60+,High,28.9
2018,SA,18-29,Low,30.3
2018,SA,18-29,Medium,28.9
2018,SA,18-29,High,31.2
2018,SA,30-44,Low,29.3
2018,SA,30-44,Medium,29.8
2018,SA,30-44,High,29.8
2018,SA,45-59,Low,32.2
2018,SA,45-59,Medium,28.9
2018,SA,45-59,High,31.0
2018,SA,60+,Low,30.9
2018,SA,60+,Medium,29.4
2018,SA,60+,High,30.4
2018,TAS,18-29,Low,30.8
2018,TAS,18-29,Medium,29.5
2018,TAS,18-29,High,29.7
2018,TAS,30-44,Low,30.3
2018,TAS,30-44,Medium,30.3
2018,TAS,30-44,High,30.4
2018,TAS,45-59,Low,32.4
2018,TAS,45-59,Medium,29.1
2018,TAS,45-59,High,31.9
2018,TAS,60+,Low,28.9
2018,TAS,60+,Medium,30.2
2018,TAS,60+,High,30.5
2019,NSW,18-29,Low,31.1
2019,NSW,18-29,Medium,29.7
2019,NSW,18-29,High,29.6
2019,NSW,30-44,Low,30.4
2019,NSW,30-44,Medium,29.8
2019,NSW,30-44,High,30.7
2019,NSW,45-59,Low,31.4
2019,NSW,45-59,Medium,29.8
2019,NSW,45-59,High,30.9
2019,NSW,60+,Low,31.4
2019,NSW,60+,Medium,31.4
2019,NSW,60+,High,30.7
2019,VIC,18-29,Low,30.0
2019,VIC,18-29,Medium,29.7
2019,VIC,18-29,High,30.5
2019,VIC,30-44,Low,31.5
2019,VIC,30-44,Medium,30.4
2019,VIC,30-44,High,30.0
2019,VIC,45-59,Low,32.3
2019,VIC,45-59,Medium,29.9
2019,VIC,45-59,High,30.5
2019,VIC,60+,Low,30.9
2019,VIC,60+,Medium,30.4
2019,VIC,60+,High,31.2
2019,QLD,18-29,Low,31.6
2019,QLD,18-29,Medium,31.1
2019,QLD,18-29,High,31.1
2019,QLD,30-44,Low,30.9
2019,QLD,30-44,Medium,31.1
2019,QLD,30-44,High,29.6
2019,QLD,45-59,Low,31.3
2019,QLD,45-59,Medium,30.4
2019,QLD,45-59,High,30.1
2019,QLD,60+,Low,31.7
2019,QLD,60+,Medium,29.8
2019,QLD,60+,High,32.2
2019,WA,18-29,Low,29.8
2019,WA,18-29,Medium,29.1
2019,WA,18-29,High,31.0
2019,WA,30-44,Low,31.7
2019,WA,30-44,Medium,31.0
2019,WA,30-44,High,30.5
2019,WA,45-59,Low,31.0
2019,WA,45-59,Medium,29.6
2019,WA,45-59,High,30.1
2019,WA,60+,Low,30.4
2019,WA,60+,Medium,31.6
2019,WA,60+,High,30.0
2019,SA,18-29,Low,30.0
2019,SA,18-29,Medium,30.0
2019,SA,18-29,High,30.2
2019,SA,30-44,Low,30.3
2019,SA,30-44,Medium,29.6
2019,SA,30-44,High,30.1
2019,SA,45-59,Low,31.2
2019,SA,45-59,Medium,30.0
2019,SA,45-59,High,29.5
2019,SA,60+,Low,31.3
2019,SA,60+,Medium,29.2
2019,SA,60+,High,28.7
2019,TAS,18-29,Low,30.1
2019,TAS,18-29,Medium,30.1
2019,TAS,18-29,High,30.1
2019,TAS,30-44,Low,32.4
2019,TAS,30-44,Medium,31.3
2019,TAS,30-44,High,29.7
2019,TAS,45-59,Low,31.0
2019,TAS,45-59,Medium,29.5
2019,TAS,45-59,High,30.0
2019,TAS,60+,Low,30.8
2019,TAS,60+,Medium,30.9
2019,TAS,60+,High,29.3
2020,NSW,18-29,Low,31.5
2020,NSW,18-29,Medium,32.0
2020,NSW,18-29,High,29.9
2020,NSW,30-44,Low,31.5
2020,NSW,30-44,Medium,31.3
2020,NSW,30-44,High,29.7
2020,NSW,45-59,Low,31.4
2020,NSW,45-59,Medium,30.7
2020,NSW,45-59,High,30.3
2020,NSW,60+,Low,30.5
2020,NSW,60+,Medium,30.8
2020,NSW,60+,High,30.8
2020,VIC,18-29,Low,32.5
2020,VIC,18-29,Medium,31.5
2020,VIC,18-29,High,32.2
2020,VIC,30-44,Low,30.3
2020,VIC,30-44,Medium,31.5
2020,VIC,30-44,High,30.3
2020,VIC,45-59,Low,33.4
2020,VIC,45-59,Medium,29.9
2020,VIC,45-59,High,29.4
2020,VIC,60+,Low,30.7
2020,VIC,60+,Medium,28.7
2020,VIC,60+,High,29.8
2020,QLD,18-29,Low,30.2
2020,QLD,18-29,Medium,30.7
2020,QLD,18-29,High,30.3
2020,QLD,30-44,Low,33.0
2020,QLD,30-44,Medium,31.6
2020,QLD,30-44,High,29.5
2020,QLD,45-59,Low,30.3
2020,QLD,45-59,Medium,31.2
2020,QLD,45-59,High,28.9
2020,QLD,60+,Low,33.1
2020,QLD,60+,Medium,32.0
2020,QLD,60+,High,29.8
2020,WA,18-29,Low,29.3
2020,WA,18-29,Medium,31.9
2020,WA,18-29,High,29.9
2020,WA,30-44,Low,32.3
2020,WA,30-44,Medium,29.0
2020,WA,30-44,High,29.5
2020,WA,45-59,Low,31.2
2020,WA,45-59,Medium,30.7
2020,WA,45-59,High,29.7
2020,WA,60+,Low,31.9
2020,WA,60+,Medium,29.7
2020,WA,60+,High,30.2
2020,SA,18-29,Low,31.1
2020,SA,18-29,Medium,31.0
2020,SA,18-29,High,30.7
2020,SA,30-44,Low,30.0
2020,SA,30-44,Medium,29.1
2020,SA,30-44,High,31.4
2020,SA,45-59,Low,31.5
2020,SA,45-59,Medium,30.0
2020,SA,45-59,High,31.8
2020,SA,60+,Low,31.4
2020,SA,60+,Medium,32.0
2020,SA,60+,High,30.4
2020,TAS,18-29,Low,33.1
2020,TAS,18-29,Medium,32.3
2020,TAS,18-29,High,29.8
2020,TAS,30-44,Low,32.1
2020,TAS,30-44,Medium,31.2
2020,TAS,30-44,High,31.5
2020,TAS,45-59,Low,30.2
2020,TAS,45-59,Medium,31.4
2020,TAS,45-59,High,31.3
2020,TAS,60+,Low,29.5
2020,TAS,60+,Medium,29.6
2020,TAS,60+,High,28.3
2021,NSW,18-29,Low,30.9
2021,NSW,18-29,Medium,31.4
2021,NSW,18-29,High,31.7
2021,NSW,30-44,Low,31.4
2021,NSW,30-44,Medium,32.4
2021,NSW,30-44,High,28.9
2021,NSW,45-59,Low,29.7
2021,NSW,45-59,Medium,30.8
2021,NSW,45-59,High,30.8
2021,NSW,60+,Low,31.5
2021,NSW,60+,Medium,28.9
2021,NSW,60+,High,30.4
2021,VIC,18-29,Low,29.9
2021,VIC,18-29,Medium,31.4
2021,VIC,18-29,High,30.6
2021,VIC,30-44,Low,30.4
2021,VIC,30-44,Medium,30.3
2021,VIC,30-44,High,29.2
2021,VIC,45-59,Low,31.3
2021,VIC,45-59,Medium,31.9
2021,VIC,45-59,High,29.4
2021,VIC,60+,Low,32.0
2021,VIC,60+,Medium,30.5
2021,VIC,60+,High,29.7
2021,QLD,18-29,Low,31.1
2021,QLD,18-29,Medium,29.7
2021,QLD,18-29,High,29.6
2021,QLD,30-44,Low,30.1
2021,QLD,30-44,Medium,32.8
2021,QLD,30-44,High,30.3
2021,QLD,45-59,Low,30.7
2021,QLD,45-59,Medium,31.1
2021,QLD,45-59,High,30.3
2021,QLD,60+,Low,31.3
2021,QLD,60+,Medium,31.6
2021,QLD,60+,High,31.3
2021,WA,18-29,Low,30.7
2021,WA,18-29,Medium,30.1
2021,WA,18-29,High,29.9
2021,WA,30-44,Low,29.0
2021,WA,30-44,Medium,29.3
2021,WA,30-44,High,31.7
2021,WA,45-59,Low,33.0
2021,WA,45-59,Medium,30.7
2021,WA,45-59,High,31.0
2021,WA,60+,Low,31.8
2021,WA,60+,Medium,34.1
2021,WA,60+,High,31.6
2021,SA,18-29,Low,31.1
2021,SA,18-29,Medium,29.7
2021,SA,18-29,High,28.6
2021,SA,30-44,Low,31.5
2021,SA,30-44,Medium,30.0
2021,SA,30-44,High,28.9
2021,SA,45-59,Low,30.8
2021,SA,45-59,Medium,29.8
2021,SA,45-59,High,32.1
2021,SA,60+,Low,32.4
2021,SA,60+,Medium,31.0
2021,SA,60+,High,32.0
2021,TAS,18-29,Low,31.3
2021,TAS,18-29,Medium,29.8
2021,TAS,18-29,High,31.7
2021,TAS,30-44,Low,31.8
2021,TAS,30-44,Medium,29.8
2021,TAS,30-44,High,30.1
2021,TAS,45-59,Low,30.5
2021,TAS,45-59,Medium,29.5
2021,TAS,45-59,High,31.3
2021,TAS,60+,Low,33.4
2021,TAS,60+,Medium,29.6
2021,TAS,60+,High,31.1
2022,NSW,18-29,Low,30.7
2022,NSW,18-29,Medium,30.4
2022,NSW,18-29,High,29.8
2022,NSW,30-44,Low,30.6
2022,NSW,30-44,Medium,31.0
2022,NSW,30-44,High,29.7
2022,NSW,45-59,Low,31.9
2022,NSW,45-59,Medium,31.0
2022,NSW,45-59,High,30.4
2022,NSW,60+,Low,30.8
2022,NSW,60+,Medium,30.6
2022,NSW,60+,High,31.5
2022,VIC,18-29,Low,31.9
2022,VIC,18-29,Medium,29.9
2022,VIC,18-29,High,30.5
2022,VIC,30-44,Low,32.3
2022,VIC,30-44,Medium,29.3
2022,VIC,30-44,High,31.0
2022,VIC,45-59,Low,30.9
2022,VIC,45-59,Medium,31.7
2022,VIC,45-59,High,29.8
2022,VIC,60+,Low,29.9
2022,VIC,60+,Medium,29.6
2022,VIC,60+,High,30.7
2022,QLD,18-29,Low,31.7
2022,QLD,18-29,Medium,30.0
2022,QLD,18-29,High,31.0
2022,QLD,30-44,Low,29.8
2022,QLD,30-44,Medium,30.9
2022,QLD,30-44,High,29.3
2022,QLD,45-59,Low,30.9
2022,QLD,45-59,Medium,31.1
2022,QLD,45-59,High,29.7
2022,QLD,60+,Low,31.3
2022,QLD,60+,Medium,32.2
2022,QLD,60+,High,30.1
2022,WA,18-29,Low,32.2
2022,WA,18-29,Medium,29.8
2022,WA,18-29,High,30.9
2022,WA,30-44,Low,32.9
2022,WA,30-44,Medium,28.5
2022,WA,30-44,High,29.7
2022,WA,45-59,Low,32.2
2022,WA,45-59,Medium,30.9
2022,WA,45-59,High,31.0
2022,WA,60+,Low,31.1
2022,WA,60+,Medium,31.3
2022,WA,60+,High,30.5
2022,SA,18-29,Low,32.6
2022,SA,18-29,Medium,31.2
2022,SA,18-29,High,30.7
2022,SA,30-44,Low,31.1
2022,SA,30-44,Medium,30.5
2022,SA,30-44,High,30.1
2022,SA,45-59,Low,32.0
2022,SA,45-59,Medium,30.7
2022,SA,45-59,High,30.9
2022,SA,60+,Low,33.8
2022,SA,60+,Medium,32.1
2022,SA,60+,High,30.4
2022,TAS,18-29,Low,32.6
2022,TAS,18-29,Medium,30.5
2022,TAS,18-29,High,28.4
2022,TAS,30-44,Low,30.5
2022,TAS,30-44,Medium,29.1
2022,TAS,30-44,High,30.1
2022,TAS,45-59,Low,31.6
2022,TAS,45-59,Medium,32.8
2022,TAS,45-59,High,30.9
2022,TAS,60+,Low,31.5
2022,TAS,60+,Medium,32.0
2022,TAS,60+,High,28.5
2023,NSW,18-29,Low,31.8
2023,NSW,18-29,Medium,31.9
2023,NSW,18-29,High,29.1
2023,NSW,30-44,Low,32.8
2023,NSW,30-44,Medium,31.5
2023,NSW,30-44,High,30.3
2023,NSW,45-59,Low,32.4
2023,NSW,45-59,Medium,33.6
2023,NSW,45-59,High,31.0
2023,NSW,60+,Low,32.1
2023,NSW,60+,Medium,30.9
2023,NSW,60+,High,30.1
2023,VIC,18-29,Low,32.4
2023,VIC,18-29,Medium,30.2
2023,VIC,18-29,High,30.7
2023,VIC,30-44,Low,31.2
2023,VIC,30-44,Medium,31.7
2023,VIC,30-44,High,31.0
2023,VIC,45-59,Low,32.8
2023,VIC,45-59,Medium,30.8
2023,VIC,45-59,High,30.5
2023,VIC,60+,Low,30.9
2023,VIC,60+,Medium,31.0
2023,VIC,60+,High,31.3
2023,QLD,18-29,Low,32.4
2023,QLD,18-29,Medium,30.2
2023,QLD,18-29,High,31.5
2023,QLD,30-44,Low,33.1
2023,QLD,30-44,Medium,31.6
2023,QLD,30-44,High,32.6
2023,QLD,45-59,Low,31.0
2023,QLD,45-59,Medium,30.1
2023,QLD,45-59,High,29.0
2023,QLD,60+,Low,33.4
2023,QLD,60+,Medium,32.1
2023,QLD,60+,High,30.8
2023,WA,18-29,Low,31.9
2023,WA,18-29,Medium,30.0
2023,WA,18-29,High,33.0
2023,WA,30-44,Low,31.8
2023,WA,30-44,Medium,31.3
2023,WA,30-44,High,31.4
2023,WA,45-59,Low,32.3
2023,WA,45-59,Medium,31.5
2023,WA,45-59,High,30.0
2023,WA,60+,Low,32.4
2023,WA,60+,Medium,33.3
2023,WA,60+,High,32.2
2023,SA,18-29,Low,33.2
2023,SA,18-29,Medium,30.6
2023,SA,18-29,High,29.6
2023,SA,30-44,Low,31.6
2023,SA,30-44,Medium,31.3
2023,SA,30-44,High,31.8
2023,SA,45-59,Low,30.1
2023,SA,45-59,Medium,32.8
2023,SA,45-59,High,30.6
2023,SA,60+,Low,31.5
2023,SA,60+,Medium,30.4
2023,SA,60+,High,29.2
2023,TAS,18-29,Low,32.4
2023,TAS,18-29,Medium,31.2
2023,TAS,18-29,High,29.3
2023,TAS,30-44,Low,30.4
2023,TAS,30-44,Medium,30.9
2023,TAS,30-44,High,32.4
2023,TAS,45-59,Low,31.5
2023,TAS,45-59,Medium,29.8
2023,TAS,45-59,High,30.6
2023,TAS,60+,Low,31.6
2023,TAS,60+,Medium,28.7
2023,TAS,60+,High,30.8
2024,NSW,18-29,Low,31.6
2024,NSW,18-29,Medium,32.0
2024,NSW,18-29,High,32.6
2024,NSW,30-44,Low,33.0
2024,NSW,30-44,Medium,31.1
2024,NSW,30-44,High,29.8
2024,NSW,45-59,Low,34.6
2024,NSW,45-59,Medium,31.6
2024,NSW,45-59,High,31.0
2024,NSW,60+,Low,32.1
2024,NSW,60+,Medium,31.8
2024,NSW,60+,High,31.0
2024,VIC,18-29,Low,31.2
2024,VIC,18-29,Medium,30.8
2024,VIC,18-29,High,30.8
2024,VIC,30-44,Low,31.4
2024,VIC,30-44,Medium,30.7
2024,VIC,30-44,High,31.0
2024,VIC,45-59,Low,31.7
2024,VIC,45-59,Medium,33.0
2024,VIC,45-59,High,28.3
2024,VIC,60+,Low,33.2
2024,VIC,60+,Medium,32.8
2024,VIC,60+,High,29.0
2024,QLD,18-29,Low,31.5
2024,QLD,18-29,Medium,30.9
2024,QLD,18-29,High,29.4
2024,QLD,30-44,Low,31.1
2024,QLD,30-44,Medium,30.3
2024,QLD,30-44,High,32.7
2024,QLD,45-59,Low,32.9
2024,QLD,45-59,Medium,32.8
2024,QLD,45-59,High,31.7
2024,QLD,60+,Low,31.0
2024,QLD,60+,Medium,31.1
2024,QLD,60+,High,31.6
2024,WA,18-29,Low,30.6
2024,WA,18-29,Medium,32.0
2024,WA,18-29,High,30.6
2024,WA,30-44,Low,31.5
2024,WA,30-44,Medium,32.1
2024,WA,30-44,High,31.3
2024,WA,45-59,Low,31.6
2024,WA,45-59,Medium,32.7
2024,WA,45-59,High,29.9
2024,WA,60+,Low,32.7
2024,WA,60+,Medium,32.2
2024,WA,60+,High,30.8
2024,SA,18-29,Low,32.1
2024,SA,18-29,Medium,30.0
2024,SA,18-29,High,31.7
2024,SA,30-44,Low,31.7
2024,SA,30-44,Medium,30.9
2024,SA,30-44,High,31.9
2024,SA,45-59,Low,31.3
2024,SA,45-59,Medium,30.1
2024,SA,45-59,High,29.4
2024,SA,60+,Low,32.7
2024,SA,60+,Medium,30.3
2024,SA,60+,High,32.9
2024,TAS,18-29,Low,29.7
2024,TAS,18-29,Medium,33.0
2024,TAS,18-29,High,31.0
2024,TAS,30-44,Low,31.8
2024,TAS,30-44,Medium,30.9
2024,TAS,30-44,High,31.3
2024,TAS,45-59,Low,32.0
2024,TAS,45-59,Medium,32.6
2024,TAS,45-59,High,31.1
2024,TAS,60+,Low,32.3
2024,TAS,60+,Medium,31.2
2024,TAS,60+,High,31.0
2025,NSW,18-29,Low,32.3
2025,NSW,18-29,Medium,29.8
2025,NSW,18-29,High,29.7
2025,NSW,30-44,Low,32.8
2025,NSW,30-44,Medium,31.8
2025,NSW,30-44,High,30.9
2025,NSW,45-59,Low,32.2
2025,NSW,45-59,Medium,32.0
2025,NSW,45-59,High,30.7
2025,NSW,60+,Low,31.5
2025,NSW,60+,Medium,32.0
2025,NSW,60+,High,30.3
2025,VIC,18-29,Low,32.4
2025,VIC,18-29,Medium,29.8
2025,VIC,18-29,High,32.0
2025,VIC,30-44,Low,32.6
2025,VIC,30-44,Medium,31.9
2025,VIC,30-44,High,32.1
2025,VIC,45-59,Low,33.9
2025,VIC,45-59,Medium,32.7
2025,VIC,45-59,High,29.4
2025,VIC,60+,Low,31.0
2025,VIC,60+,Medium,31.2
2025,VIC,60+,High,31.3
2025,QLD,18-29,Low,32.5
2025,QLD,18-29,Medium,30.8
2025,QLD,18-29,High,31.2
2025,QLD,30-44,Low,31.3
2025,QLD,30-44,Medium,31.0
2025,QLD,30-44,High,29.7
2025,QLD,45-59,Low,31.3
2025,QLD,45-59,Medium,30.3
2025,QLD,45-59,High,30.2
2025,QLD,60+,Low,33.4
2025,QLD,60+,Medium,30.9
2025,QLD,60+,High,33.9
2025,WA,18-29,Low,32.5
2025,WA,18-29,Medium,31.7
2025,WA,18-29,High,30.1
2025,WA,30-44,Low,32.8
2025,WA,30-44,Medium,31.0
2025,WA,30-44,High,31.2
2025,WA,45-59,Low,34.8
2025,WA,45-59,Medium,31.6
2025,WA,45-59,High,32.3
2025,WA,60+,Low,31.6
2025,WA,60+,Medium,31.8
2025,WA,60+,High,33.1
2025,SA,18-29,Low,31.4
2025,SA,18-29,Medium,33.3
2025,SA,18-29,High,31.7
2025,SA,30-44,Low,31.5
2025,SA,30-44,Medium,32.2
2025,SA,30-44,High,32.1
2025,SA,45-59,Low,32.8
2025,SA,45-59,Medium,30.1
2025,SA,45-59,High,30.5
2025,SA,60+,Low,32.1
2025,SA,60+,Medium,31.7
2025,SA,60+,High,31.9
2025,TAS,18-29,Low,32.2
2025,TAS,18-29,Medium,30.2
2025,TAS,18-29,High,31.4
2025,TAS,30-44,Low,32.7
2025,TAS,30-44,Medium,32.2
2025,TAS,30-44,High,32.2
2025,TAS,45-59,Low,33.0
2025,TAS,45-59,Medium,32.2
2025,TAS,45-59,High,31.1
2025,TAS,60+,Low,30.6
2025,TAS,60+,Medium,32.2
2025,TAS,60+,High,31.5
